track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6QqUgSjdtWhqsEdz72XhCD,Mitski,,Remember My Name,61.0,0,False,0.313,0.691,11.0,0.0,1.0,0.0345,0.000508,0.423,0.185,0.595,203.981,4.0,"['brooklyn indie', 'pov: indie']"
6pOJF93bhb1bTQvOXxE46u,Dua Lipa,,CAN THEY HEAR US (From ‘Gully' with original Daniel Heath Score),42.0,0,False,0.615,0.794,2.0,0.0,0.0,0.0655,0.308,6.01e-05,0.277,0.649,95.055,4.0,"['dance pop', 'pop', 'uk pop']"
6iiAfo4wTA2CVC3Uwx9uh8,Taylor Swift,,You're Not Sorry (Taylor's Version),66.0,0,False,0.506,0.444,6.0,0.0,1.0,0.0285,0.0538,0.0,0.123,0.241,133.873,4.0,['pop']
1FEiijYPJtyswChfcpv3p0,Lana Del Rey,,Summertime Sadness,63.0,0,False,0.568,0.646,1.0,0.0,0.0,0.0332,0.0464,0.0,0.121,0.211,111.945,4.0,"['art pop', 'pop']"
7IpDQcksaT8SxS7vOX4SRm,The Weeknd,,What You Need,64.0,0,False,0.657,0.405,0.0,0.0,0.0,0.0584,0.525,0.072,0.146,0.0673,133.895,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
7wIYDzWW82O6Rc4vGuzjND,Dua Lipa,,"I'm Not the Only One - Live from Spotify, London",61.0,0,False,0.455,0.265,5.0,0.0,1.0,0.0491,0.861,0.0,0.685,0.324,176.036,4.0,"['dance pop', 'pop', 'uk pop']"
69UqtTHfUKAJweQwEStRzC,Cigarettes After Sex,,Sunsetz,6.0,0,False,0.412,0.477,9.0,0.0,0.0,0.029,0.0542,0.798,0.0975,0.141,75.302,4.0,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
0or0gNaKAXYYCsOrpvRzAu,Lorde,,Liability,0.0,0,False,0.534,0.218,10.0,0.0,0.0,0.111,0.923,0.0,0.0944,0.345,76.715,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
4agPFCccTh7gIho2sNhsJp,Olivia Rodrigo,,"1 step forward, 3 steps back",52.0,0,False,0.472,0.202,2.0,0.0,1.0,0.0995,0.938,0.0,0.126,0.445,169.023,4.0,['pop']
7AEAGTc8cReDqcbPoY9gwo,Taylor Swift,,We Are Never Ever Getting Back Together,57.0,0,False,0.628,0.676,7.0,0.0,1.0,0.0916,0.00957,2.65e-05,0.102,0.75,85.984,4.0,['pop']
13wNEvWmBsWaWVtiLPRIW5,The Weeknd,,Hurt You,0.0,0,False,0.484,0.716,5.0,0.0,0.0,0.167,0.3,0.00214,0.112,0.365,184.131,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
6x5yiC9qgFIO0XPekWdjF1,Mitski,,Shame,59.0,0,False,0.297,0.181,8.0,0.0,0.0,0.0366,0.957,0.000288,0.0841,0.0698,119.186,3.0,"['brooklyn indie', 'pov: indie']"
6kkdPUBJurHTLjaweUWeqz,TWICE,,The Best Thing I Ever Did,0.0,0,False,0.72,0.655,5.0,0.0,1.0,0.0248,0.383,0.0,0.156,0.468,104.977,4.0,"['k-pop', 'k-pop girl group', 'pop']"
0wavGRldH0AWyu2zvTz8zb,Taylor Swift,,Sweet Nothing,72.0,0,False,0.337,0.156,0.0,0.0,1.0,0.0518,0.964,7.72e-05,0.115,0.39,176.655,4.0,['pop']
4bXCcoesMt8u99xMsbLr9U,Taylor Swift,,Clean,54.0,0,False,0.815,0.377,4.0,0.0,1.0,0.0346,0.232,0.0,0.1,0.211,103.97,4.0,['pop']
2Tz4JnXZOcjcp8fWfMjBBk,Taylor Swift,,The Last Time,48.0,0,False,0.505,0.443,2.0,0.0,1.0,0.0276,0.035,3.15e-06,0.0906,0.123,94.069,4.0,['pop']
3FvDYk5IC5Um84kK5FbJGR,The Weeknd,,Adaptation,45.0,0,False,0.642,0.793,11.0,0.0,0.0,0.0691,0.159,0.000557,0.305,0.623,114.96,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
3yNJkriPzWjkkDAWHIAVUq,Taylor Swift,,Ours (Taylor's Version),68.0,0,False,0.535,0.488,0.0,0.0,1.0,0.0278,0.449,0.0,0.111,0.348,159.813,4.0,['pop']
0IiQ3gvsK7OTYoDvBUKukm,Arctic Monkeys,,My Propeller,0.0,0,False,0.415,0.657,9.0,0.0,0.0,0.0295,0.052,0.0552,0.233,0.69,115.752,4.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
5VJETUjJ7y46bAz4min5IB,Olivia Rodrigo,,vampire,65.0,0,False,0.474,0.559,5.0,0.0,1.0,0.0557,0.165,0.0,0.186,0.318,137.466,4.0,['pop']
7MXgrcOQAJ5VwSNUL0lDd3,The Weeknd,,Blinding Lights (with ROSALÍA) - Remix,55.0,0,False,0.49,0.694,5.0,0.0,0.0,0.0618,0.0133,4.62e-05,0.0946,0.249,170.903,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
3DNziCcqRd2v8uQWwec1GW,Sabrina Carpenter,,Skin - Quarterhead Remix,32.0,0,False,0.684,0.755,7.0,0.0,1.0,0.101,0.00852,0.0,0.334,0.237,119.957,4.0,['pop']
2ls70nUDfjzm1lSRDuKxmw,Taylor Swift,,Blank Space,62.0,0,False,0.752,0.678,5.0,0.0,1.0,0.0646,0.085,1.64e-06,0.13,0.583,96.009,4.0,['pop']
