track_id,genres,track_artists,tempo,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,name
0zg8u9UUlvwSvBJYEjhgDT,"['dance pop', 'pop', 'uk pop']",Dua Lipa,119.999,0.91,6.0,62.0,0.0,4.0,0.0554,0.717,0.682,0.00262,0.0589,0.00194,Love Again - Imanbek Remix
4pvb0WLRcMtbPGmtejJJ6y,['pop'],Taylor Swift,75.602,0.38,6.0,79.0,1.0,4.0,0.0287,0.298,0.152,0.778,0.11,5.62e-05,exile (feat. Bon Iver)
550erGcdD9n6PnwxrvYqZT,['pop'],Taylor Swift,115.99,0.571,6.0,67.0,1.0,4.0,0.0296,0.788,0.797,0.106,0.0934,0.0,Hey Stephen (Taylor's Version)
1hjRhYpWyqDpPahmSlUTlc,['pop'],Taylor Swift,94.971,0.824,2.0,81.0,1.0,4.0,0.038,0.575,0.292,0.000418,0.0901,0.0214,Style (Taylor's Version)
7fesNTgTEMEH0ye8MOgEDY,['pop'],Olivia Rodrigo,135.82,0.229,0.0,73.0,1.0,4.0,0.0362,0.422,0.104,0.816,0.109,0.0,teenage dream
0pjBqAz8GlxGlpaU4W0DxS,['pop'],Taylor Swift,122.99,0.722,9.0,66.0,1.0,4.0,0.0691,0.731,0.265,0.0893,0.112,0.00256,Cruel Summer - LP Giobbi Remix
5GPwN5iZ9ZMSXAkppj4Uvv,['pop'],Taylor Swift,134.05,0.608,1.0,42.0,0.0,4.0,0.0259,0.552,0.17,0.186,0.125,0.0,Innocent
3e0McEmoNU05YD0dBT5afU,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,169.929,0.721,9.0,0.0,1.0,4.0,0.0366,0.298,0.727,0.00702,0.307,0.0,Cornerstone
3BJe4B8zGnqEdQPMvfVjuS,"['art pop', 'pop']",Lana Del Rey,111.968,0.654,1.0,84.0,0.0,4.0,0.0335,0.565,0.235,0.0542,0.122,1.8e-06,Summertime Sadness
5YkPpicEXy0OtQnXxV2YaP,"['dance pop', 'pop', 'uk pop']",Dua Lipa,172.95,0.448,10.0,17.0,1.0,4.0,0.0434,0.672,0.335,0.636,0.111,2.28e-05,Be the One - Acoustic Version
2ExKb6Ag2WXob6FpkSeXhE,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,118.061,0.817,0.0,57.0,1.0,4.0,0.0308,0.684,0.623,0.0222,0.439,2.19e-05,Save Your Tears
78dtqFPt7cvYgS2zTXtZKV,"['art pop', 'pop']",Lana Del Rey,149.907,0.84,5.0,66.0,0.0,4.0,0.0441,0.509,0.336,0.0311,0.0969,0.000169,Summertime Sadness - Sped Up
3HWOknOVmd44e1jg4g0Sga,"['k-pop', 'k-pop girl group', 'pop']",TWICE,129.971,0.968,1.0,63.0,0.0,4.0,0.131,0.672,0.473,0.0243,0.0587,0.0,Knock Knock
5WhzJEUErG4gdSqxNCB9ED,"['art pop', 'pop']",Lana Del Rey,79.592,0.224,7.0,46.0,0.0,5.0,0.0323,0.352,0.211,0.876,0.113,0.0327,Wildflower Wildfire
4eKMqf9ZMSclDX7V9Ptg7x,['pop'],Taylor Swift,140.15,0.372,0.0,66.0,1.0,4.0,0.0667,0.654,0.198,0.705,0.114,6.78e-05,Midnight Rain
12nBPF4Rh4XLFJV0YLN7uj,['pop'],Taylor Swift,133.627,0.598,1.0,65.0,0.0,4.0,0.0284,0.522,0.149,0.101,0.152,0.0,Innocent (Taylor's Version)
5yeuXkukVGuix3vmLu2BPJ,['pop'],Taylor Swift,79.996,0.279,4.0,63.0,0.0,4.0,0.364,0.87,0.16,0.16,0.121,1.74e-05,Vigilante Shit
2NmsngXHeC1GQ9wWrzhOMf,['pop'],Taylor Swift,119.845,0.31,10.0,79.0,1.0,4.0,0.0338,0.559,0.46,0.881,0.106,0.0,illicit affairs
1RvQQGwaPipiNgz8RXAKA8,['pop'],Taylor Swift,124.978,0.896,1.0,49.0,0.0,4.0,0.0437,0.602,0.641,0.0773,0.091,8.87e-05,Red
5QWTRnyZO44Gtl9sru49VQ,['pop'],Taylor Swift,89.011,0.672,2.0,0.0,1.0,4.0,0.0303,0.668,0.539,0.111,0.329,0.0,Our Song
6dYcUcj1TyZZES5ivtjLdk,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex,73.683,0.37,2.0,0.0,0.0,4.0,0.0247,0.455,0.125,0.533,0.111,0.959,Keep On Loving You
2hloaUoRonYssMuqLCBLTX,['pop'],Ariana Grande,151.976,0.665,2.0,80.0,0.0,4.0,0.0774,0.758,0.643,0.0815,0.216,0.000157,bloodline
11MyiSGZSYSmhhqwGUTtAq,"['art pop', 'pop']",Lana Del Rey,119.479,0.587,5.0,78.0,1.0,4.0,0.0364,0.345,0.258,0.539,0.119,0.0731,Sad Girl
7nDYw1nNAW4dAqgmW2W3tq,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,179.823,0.689,7.0,0.0,1.0,4.0,0.197,0.384,0.702,0.0217,0.204,2.24e-06,Almost (Sweet Music)
626lrZfNIlthgrUfjvRYrh,"['k-pop', 'k-pop boy group', 'pop']",BTS,136.034,0.475,0.0,0.0,0.0,4.0,0.0846,0.583,0.332,0.148,0.139,0.0,Stigma
5TgEJ62DOzBpGxZ7WRsrqb,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,121.412,0.363,10.0,79.0,1.0,4.0,0.0608,0.531,0.259,0.749,0.112,0.0,Work Song
67Io3gxHwfbUreBf114c0u,['pop'],Taylor Swift,121.038,0.78,7.0,60.0,1.0,4.0,0.0297,0.621,0.672,0.00327,0.184,4.55e-06,Mine
6ce41JVa6KFaryfmC2bu2W,['pop'],Taylor Swift,103.987,0.729,7.0,68.0,1.0,4.0,0.0376,0.661,0.668,0.00215,0.0477,0.0013,22
0oSNOJEcBIKNcQzRc5TfyR,"['k-pop', 'k-pop boy group', 'pop']",BTS,92.971,0.887,0.0,0.0,0.0,4.0,0.089,0.585,0.528,0.0244,0.361,0.0,Blood Sweat & Tears
1iugFsBigGHtRwvFVDG9oo,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,86.425,0.446,0.0,62.0,0.0,4.0,0.0338,0.5,0.154,0.382,0.159,4.83e-06,It Will Come Back
4OC6qCqVMscZLBMnLTsVyg,['pop'],Olivia Rodrigo,137.459,0.557,5.0,3.0,1.0,4.0,0.053,0.462,0.294,0.173,0.272,0.0,vampire
6JmSfynzr6E0QllQZNEXEb,"['irish singer-songwriter', 'modern rock', 'pov: indie']",Hozier,93.507,0.64,4.0,68.0,1.0,4.0,0.0506,0.364,0.386,0.201,0.12,7.25e-05,Angel of Small Death and the Codeine Scene
560uQyz3p5G9WdnMX39xc6,['pop'],Taylor Swift,117.699,0.235,10.0,55.0,1.0,4.0,0.0356,0.489,0.435,0.883,0.113,0.0,illicit affairs - the long pond studio sessions
