track_name,artists,spotify_id,release_date,release_date_precision,album_name,recency_score,album_image,preview_url,external_url,spotify_url
Video Games,Lana Del Rey,,2020-01-01,year,Born To Die,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/59/10/66/591066ea-3c85-3dfe-ef82-ffdbbcdfc8b9/12UMGIM00033.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/67/07/50/670750ec-42f9-fcf2-feef-9c4faa873ce8/mzaf_16864780503903222714.plus.aac.p.m4a,https://open.spotify.com/search/Video%20Games%20Lana%20Del%20Rey,https://open.spotify.com/search/Video%20Games%20Lana%20Del%20Rey
Blue Velvet,Lana Del Rey,,2020-01-01,year,Paradise,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/8e/9b/17/8e9b179c-b2de-4764-13d4-6cc2a134f124/00602537181506.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/34/68/39/346839a7-6c2c-aab7-133d-e69d5055d898/mzaf_679630652222368159.plus.aac.p.m4a,https://open.spotify.com/search/Blue%20Velvet%20Lana%20Del%20Rey,https://open.spotify.com/search/Blue%20Velvet%20Lana%20Del%20Rey
Heroin,Lana Del Rey,,2020-01-01,year,Honeymoon,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a2/e1/35/a2e1350a-c739-dc75-93f5-b3e8b33d7d7e/15UMGIM44419.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4a/eb/79/4aeb79f3-082f-db52-3c5f-ce8011bcfc04/mzaf_7046295694749755255.plus.aac.p.m4a,https://open.spotify.com/search/Heroin%20Lana%20Del%20Rey,https://open.spotify.com/search/Heroin%20Lana%20Del%20Rey
Cinnamon Girl,Lana Del Rey,,2020-01-01,year,Norman Fucking Rockwell!,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/c6/5f/b9/c65fb9eb-da2f-89a9-b640-2fff1fc3a660/19UMGIM61350.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/80/61/6d/80616d56-8057-743f-b1d5-40c6926b1ad0/mzaf_15310435543583230596.plus.aac.p.m4a,https://open.spotify.com/search/Cinnamon%20Girl%20Lana%20Del%20Rey,https://open.spotify.com/search/Cinnamon%20Girl%20Lana%20Del%20Rey
Buddy's Rendezvous,Lana Del Rey,,2020-01-01,year,Buddy's Rendezvous - Single,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/f5/e2/95/f5e295da-8bbc-d8e6-9904-d806b637dc2c/098787145564.png/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/92/3b/a6/923ba624-9d91-4ace-d4fc-357d3721b8a3/mzaf_2391182869896688485.plus.aac.p.m4a,https://open.spotify.com/search/Buddy%27s%20Rendezvous%20Lana%20Del%20Rey,https://open.spotify.com/search/Buddy%27s%20Rendezvous%20Lana%20Del%20Rey
traitor,Olivia Rodrigo,,2020-01-01,year,SOUR,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/33/fd/32/33fd32b1-0e43-9b4a-8ed6-19643f23544e/21UMGIM26092.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/4f/ae/6c/4fae6c93-6bb3-d320-00bf-f32310705b3f/mzaf_16796881619991035581.plus.aac.p.m4a,https://open.spotify.com/search/traitor%20Olivia%20Rodrigo,https://open.spotify.com/search/traitor%20Olivia%20Rodrigo
happier,Olivia Rodrigo,,2020-01-01,year,SOUR,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/02/ed/8c/02ed8cab-c089-2fdd-7ce6-ab334a9a4e19/21UMGIM26093.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4d/17/85/4d17858d-b001-d33c-1c25-6761b3286540/mzaf_7847579171692049058.plus.aac.p.m4a,https://open.spotify.com/search/happier%20Olivia%20Rodrigo,https://open.spotify.com/search/happier%20Olivia%20Rodrigo
teenage dream,Olivia Rodrigo,,2020-01-01,year,GUTS,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9e/0d/17/9e0d17e0-c068-fbd9-fd85-610cc87c86aa/23UMGIM71511.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/41/35/92/413592df-8abd-740f-b5f6-9c8502829716/mzaf_16191369751081394305.plus.aac.p.m4a,https://open.spotify.com/search/teenage%20dream%20Olivia%20Rodrigo,https://open.spotify.com/search/teenage%20dream%20Olivia%20Rodrigo
"Wondering - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,,2020-01-01,year,High School Musical: The Musical: The Series (Music from the Disney+ Original Series),0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/17/df/2f/17df2ffe-56ff-a168-9f9b-82a045bf12c3/19UMGIM96294.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/50/29/dd/5029dd19-bfa2-e314-2213-8f1e324e22a1/mzaf_4529839595654355007.plus.aac.p.m4a,https://open.spotify.com/search/Wondering%20-%20From%20%22High%20School%20Musical%3A%20The%20Musical%3A%20The%20Series%22%20Olivia%20Rodrigo,https://open.spotify.com/search/Wondering%20-%20From%20%22High%20School%20Musical%3A%20The%20Musical%3A%20The%20Series%22%20Olivia%20Rodrigo
drivers license,Olivia Rodrigo,,2020-01-01,year,SOUR,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/02/ed/8c/02ed8cab-c089-2fdd-7ce6-ab334a9a4e19/21UMGIM26093.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/36/62/61/366261be-0996-d73d-de6f-03417867c800/mzaf_8201528327761821135.plus.aac.p.m4a,https://open.spotify.com/search/drivers%20license%20Olivia%20Rodrigo,https://open.spotify.com/search/drivers%20license%20Olivia%20Rodrigo
Burst Open,HDMIRROR,,2020-01-01,year,In Ribbons,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9a/b2/e0/9ab2e0d7-8ff9-38d6-0acb-fff274569997/652637200485.png/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/cf/b2/33/cfb233e7-0aa2-39ee-3804-fe2479295aee/mzaf_6269742388626622922.plus.aac.p.m4a,https://open.spotify.com/search/Burst%20Open%20HDMIRROR,https://open.spotify.com/search/Burst%20Open%20HDMIRROR
相逢在雨中,Leon Lai,,2020-01-01,year,復黑王: 相逢在雨中,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ec/fe/2b/ecfe2b19-6508-835f-87f0-57c121c5716b/00602527317557.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/13/a2/7c/13a27c67-9928-fab6-d5ec-07efb42126fe/mzaf_5215622218970813261.plus.aac.p.m4a,https://open.spotify.com/search/%E7%9B%B8%E9%80%A2%E5%9C%A8%E9%9B%A8%E4%B8%AD%20Leon%20Lai,https://open.spotify.com/search/%E7%9B%B8%E9%80%A2%E5%9C%A8%E9%9B%A8%E4%B8%AD%20Leon%20Lai
End Up,Sevyn Streeter,,2020-01-01,year,Drunken Wordz Sober Thoughtz,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/16/08/a6/1608a6b4-f094-e6f5-c24b-030fd1899b00/634164287825.png/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/68/14/95/68149580-4e2c-cdaf-a2eb-f5f06d08a992/mzaf_10591227018010886528.plus.aac.p.m4a,https://open.spotify.com/search/End%20Up%20Sevyn%20Streeter,https://open.spotify.com/search/End%20Up%20Sevyn%20Streeter
Sea of Heartbreak,Don Gibson,,2020-01-01,year,Don Gibson - The Beyond Essential,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f8/9d/8f/f89d8f9a-e03a-7363-9f8a-7d0c1f9052ca/4066004690728_3000.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/5b/22/58/5b2258a7-72f3-ca38-f6c7-f32bb4d25c44/mzaf_9399345391100346504.plus.aac.p.m4a,https://open.spotify.com/search/Sea%20of%20Heartbreak%20Don%20Gibson,https://open.spotify.com/search/Sea%20of%20Heartbreak%20Don%20Gibson
Rose flash,Orloge Simard,,2020-01-01,year,1986 Sound City Session N' More,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/2b/f6/b1/2bf6b19e-2995-f2ce-e01a-ed098e6d4719/18UMGIM24877.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ea/57/75/ea577559-a24b-f258-a488-6b3ed9830576/mzaf_6347517629330017408.plus.aac.p.m4a,https://open.spotify.com/search/Rose%20flash%20Orloge%20Simard,https://open.spotify.com/search/Rose%20flash%20Orloge%20Simard
Em Plena Lua De Mel,Reginaldo Rossi,,2020-01-01,year,Reginaldo Rossi: Ao Vivo,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music/72/6e/dc/mzi.ukuvjbcr.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/08/91/89/08918993-5bfb-39ec-3153-1dd02ee0dad3/mzaf_1575899414404536585.plus.aac.p.m4a,https://open.spotify.com/search/Em%20Plena%20Lua%20De%20Mel%20Reginaldo%20Rossi,https://open.spotify.com/search/Em%20Plena%20Lua%20De%20Mel%20Reginaldo%20Rossi
watch,Billie Eilish,,2020-01-01,year,dont smile at me,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/02/1d/30/021d3036-5503-3ed3-df00-882f2833a6ae/17UM1IM17026.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0f/a0/86/0fa08699-26a1-1c96-e4ad-8db9839861d7/mzaf_9527782586850077493.plus.aac.p.m4a,https://open.spotify.com/search/watch%20Billie%20Eilish,https://open.spotify.com/search/watch%20Billie%20Eilish
Milk & Honey,Billie Marten,,2020-01-01,year,Milk & Honey - Single,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music18/v4/a3/04/65/a3046573-022d-11a8-ab26-ed4e615723f7/dj.ksdujeje.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/83/50/e6/8350e603-67df-5a64-b65b-45cf009dad71/mzaf_12777674756174275191.plus.aac.p.m4a,https://open.spotify.com/search/Milk%20%26%20Honey%20Billie%20Marten,https://open.spotify.com/search/Milk%20%26%20Honey%20Billie%20Marten
idontwannabeyouanymore,Billie Eilish,,2020-01-01,year,dont smile at me,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/02/1d/30/021d3036-5503-3ed3-df00-882f2833a6ae/17UM1IM17026.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/91/37/86/913786b5-4da9-5ecd-9c5f-8af4acc32dde/mzaf_1235507762698071430.plus.aac.p.m4a,https://open.spotify.com/search/idontwannabeyouanymore%20Billie%20Eilish,https://open.spotify.com/search/idontwannabeyouanymore%20Billie%20Eilish
ocean eyes,Billie Eilish,,2020-01-01,year,dont smile at me,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/02/1d/30/021d3036-5503-3ed3-df00-882f2833a6ae/17UM1IM17026.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d6/59/2b/d6592b0b-1e7e-4743-b2e4-f2af038fd783/mzaf_7697277787797935735.plus.aac.p.m4a,https://open.spotify.com/search/ocean%20eyes%20Billie%20Eilish,https://open.spotify.com/search/ocean%20eyes%20Billie%20Eilish
20 år på vegen,Hellbillies,,2020-01-01,year,Aslag Haugens dag (Sesong 9) - EP,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e3/b9/38/e3b93814-f32a-51a3-a544-6bba2a8cb6c2/194491787769.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0e/8b/cd/0e8bcd91-18af-6983-7a64-bb341e12daba/mzaf_15310157233697344115.plus.aac.p.m4a,https://open.spotify.com/search/20%20%C3%A5r%20p%C3%A5%20vegen%20Hellbillies,https://open.spotify.com/search/20%20%C3%A5r%20p%C3%A5%20vegen%20Hellbillies
Happier,Marshmello;Bastille,,2020-01-01,year,Happier - Single,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e5/61/69/e561696f-40c5-19c1-ec6d-5b2dfaa919f2/21.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/fb/3f/e6/fb3fe69b-1f83-dae3-ad86-34b73a50e86c/mzaf_12086156071273718688.plus.aac.p.m4a,https://open.spotify.com/search/Happier%20Marshmello%3BBastille,https://open.spotify.com/search/Happier%20Marshmello%3BBastille
Visão Ampla,BK;El Lif Beatz,,2020-01-01,year,Castelos & Ruínas,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5c/a5/92/5ca592ca-ed9b-441a-a9d7-3a8930a8dff4/689407286431.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/87/7f/0e/877f0e8e-7f5b-735a-5769-28bf5df1d866/mzaf_15281620968864898756.plus.aac.p.m4a,https://open.spotify.com/search/Vis%C3%A3o%20Ampla%20BK%3BEl%20Lif%20Beatz,https://open.spotify.com/search/Vis%C3%A3o%20Ampla%20BK%3BEl%20Lif%20Beatz
Jag mår illa,Magnus Uggla,,2020-01-01,year,Klassiska mästerverk,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/82/74/58/8274589d-f0aa-4a30-f0c1-4df5b23045aa/884977875072.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/53/7e/ec/537eec8d-fd66-f067-e42d-12d166d9a1f2/mzaf_18319426430416157738.plus.aac.p.m4a,https://open.spotify.com/search/Jag%20m%C3%A5r%20illa%20Magnus%20Uggla,https://open.spotify.com/search/Jag%20m%C3%A5r%20illa%20Magnus%20Uggla
Bawa Daku Pergi,Ruth Sahanaya,,2020-01-01,year,Greatest Hits - EP,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/13/ba/4e/13ba4ede-4471-0795-269a-a812e0ea0ba4/Ruth.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/87/4b/a5/874ba574-da27-b887-9cd0-2976cd21e4f2/mzaf_10201612650384996319.plus.aac.p.m4a,https://open.spotify.com/search/Bawa%20Daku%20Pergi%20Ruth%20Sahanaya,https://open.spotify.com/search/Bawa%20Daku%20Pergi%20Ruth%20Sahanaya
Genesis (Intro),Zaeden,,2020-01-01,year,Genesis 1:1,0.4239,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/b4/c1/30/b4c13088-987b-b893-e8f5-a6c8de91008d/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8c/76/ee/8c76eeaf-f0bd-0793-05a4-8b140eef19f3/mzaf_17418264595181547536.plus.aac.p.m4a,https://open.spotify.com/search/Genesis%20%28Intro%29%20Zaeden,https://open.spotify.com/search/Genesis%20%28Intro%29%20Zaeden
